Time_Days,Rep1,Rep2,Rep3,Rep4,Rep5,Rep6
0.0,1484.280154,1544.162354,1628.849078,1664.041236,1485.397115,1462.760805
0.16666666666666666,1628.215907,1639.582963,1724.773294,1762.60147,1568.784615,1550.075795
0.3333333333333333,1793.23779,1772.621311,1885.888726,1921.446119,1737.392308,1689.967554
0.5,1962.843613,1925.844789,2047.935461,2100.385574,1883.091346,1850.514471
0.6666666666666666,2119.614402,2091.913349,2227.676955,2258.273328,2034.288462,1976.323167
0.8333333333333334,2306.639202,2266.239461,2417.662782,2443.91105,2173.573077,2105.887346
1.0,2514.750131,2539.656206,2697.053704,2664.953906,2456.724038,2360.32135
1.1666666666666667,2738.446461,2768.115164,2943.849019,2925.229476,2699.555769,2633.532771
1.3333333333333333,3055.655191,3080.067155,3324.751977,3295.548025,3062.428846,2984.670474
1.5,3462.709167,3416.791803,3601.34899,3694.57344,3366.655769,3313.275276
1.8756944445833332,4357.494486,4285.669848,4554.072035,4644.770649,4203.279808,4080.332771
2.04236111125,4600.443368,4724.237646,4962.914085,4849.546281,4491.0125,4692.476574
2.2090277779166665,5126.679816,5200.423185,5445.329078,5355.743989,5083.888462,5249.226995
2.3756944445833335,5625.412616,5713.308958,5997.591801,5919.355425,5546.643269,5800.344192
2.54236111125,6219.491393,6243.627342,6419.472094,6508.80304,6002.983654,6177.770279
2.709027777916667,6770.481123,6745.503044,7052.758184,7055.190358,6454.742308,6701.660221
2.8756944445833335,7493.827041,7472.167681,7651.586061,7472.396786,6916.580769,7056.553407
3.0423611112500004,8213.0,8209.0,8283.0,8042.0,7507.0,7609.0
3.209027777916667,8928.0,8956.0,8947.0,8764.0,8226.0,8359.0
3.3756944445833335,9655.0,9610.0,9576.0,9416.0,8838.0,9085.0
3.5423611112500004,10350.0,10338.0,10298.0,10096.0,9451.0,9641.0
3.709027777916667,11033.0,11050.0,11116.0,10759.0,10100.0,10254.0
3.8756944445833335,11800.0,11725.0,11798.0,11455.0,10619.0,10931.0
4.04236111125,12724.0,12596.0,12693.0,12313.0,11554.0,11685.0
4.209027779166667,13760.0,13600.0,13842.0,13313.0,12525.0,12692.0
4.375694445833333,14823.0,14710.0,14808.0,14310.0,13557.0,13753.0
4.5423611125,16017.0,15715.0,15876.0,15344.0,14384.0,14762.0
4.709027779166667,17128.0,16694.0,16996.0,16421.0,15407.0,15647.0
4.875694445833333,18325.0,17843.0,18116.0,17528.0,16350.0,16678.0
5.0423611125,19536.0,18939.0,19494.0,18675.0,17553.0,17838.0
5.209027779166667,20756.0,20128.0,20766.0,19888.0,18770.0,18985.0
5.375694445833333,21898.0,21375.0,21905.0,20978.0,19865.0,20042.0
5.5423611125,23110.0,22519.0,23175.0,21997.0,20902.0,21262.0
5.709027779166667,24296.0,23576.0,24329.0,23099.0,21904.0,22412.0
5.875694445833333,25221.0,24542.0,25550.0,24138.0,23553.0,23230.0
6.0423611125,26429.0,25496.0,26585.0,25271.0,24530.0,24456.0
6.209027779166667,27534.0,26560.0,27673.0,26282.0,25347.0,25235.0
6.375694445833333,28876.0,27623.0,28836.0,27349.0,26485.0,26438.0
6.5423611125,29880.0,28684.0,30010.0,28254.0,27572.0,27463.0
6.709027779166667,30969.0,29679.0,31224.0,29298.0,28506.0,28515.0
6.875694445833333,32075.0,30646.0,32377.0,30441.0,29745.0,29729.0
